SNP,count,Frequency
0,75658,0.730550486177496
1,20203,0.195079323696687
2,5346,0.0516207525853828
3,1516,0.0146384326448635
4,460,0.00444174077614592
5,162,0.00156426522986009
6,79,0.000762820698512017
7,43,0.000415206202987553
8,39,0.000376582370151502
9,12,0.000115871498508154
10,12,0.000115871498508154
11,9,8.69036238811158e-05
12,9,8.69036238811158e-05
13,6,5.79357492540772e-05
14,4,3.86238328360515e-05
16,2,1.93119164180257e-05
17,1,9.65595820901287e-06
18,1,9.65595820901287e-06
77,1,9.65595820901287e-06
